atm_id,temperature,network_errors,dispenser_errors,cpu_usage,transaction_failures,failure_status
ATM819,79,8,4,41,4,0
ATM820,91,16,4,77,6,1
ATM821,77,8,2,76,15,0
ATM822,67,13,2,42,17,0
ATM823,86,12,3,60,1,0
ATM824,65,8,8,67,10,0
ATM825,71,0,3,74,12,0
ATM826,83,8,7,37,6,0
ATM827,85,17,2,57,5,0
ATM828,93,11,4,57,7,0
ATM829,50,3,4,42,24,0
ATM830,98,21,5,39,20,1
ATM831,93,14,4,75,12,0
ATM832,86,5,7,31,21,0
ATM833,66,3,13,39,2,0
ATM834,74,2,14,46,11,1
ATM835,73,28,10,54,3,0
ATM836,75,5,0,57,15,0
ATM837,96,16,7,87,11,1
ATM838,76,21,4,71,14,0
ATM839,79,8,1,66,5,0
ATM840,56,20,8,62,22,0
ATM841,56,19,8,41,15,0
ATM842,65,10,4,36,3,0
ATM843,96,18,8,61,10,1
ATM844,57,0,6,74,21,0
ATM845,53,7,2,58,8,0
ATM846,78,1,1,57,12,0
ATM847,64,27,6,73,3,0
ATM848,75,7,8,34,23,0
ATM849,81,19,1,44,21,0
ATM850,90,16,10,86,24,1
ATM851,59,26,12,40,12,1
ATM852,57,7,3,57,10,0
ATM853,92,0,0,76,19,0
ATM854,87,23,5,89,24,1
ATM855,96,8,13,55,16,1
ATM856,99,4,3,81,8,0
ATM857,60,23,5,62,17,0
ATM858,87,26,1,44,20,1
ATM859,95,4,5,67,21,0
ATM860,67,13,9,75,12,1
ATM861,80,29,2,35,7,0
ATM862,93,12,10,62,16,1
ATM863,97,10,12,79,10,0
ATM864,80,27,11,99,8,0
ATM865,65,3,2,77,23,0
ATM866,75,29,8,40,4,0
ATM867,74,17,2,84,5,0
ATM868,67,25,5,33,11,0
ATM869,78,26,12,46,10,0
ATM870,92,20,1,63,22,1
ATM871,57,12,9,37,3,0
ATM872,96,29,0,72,6,1
ATM873,66,26,3,73,8,0
ATM874,86,9,3,57,9,0
ATM875,92,20,7,71,7,1
ATM876,51,22,7,77,21,0
ATM877,86,26,8,96,11,1
ATM878,62,12,9,38,21,1
ATM879,76,1,2,30,24,0
ATM880,78,6,0,96,19,0
ATM881,69,20,13,64,2,0
ATM882,98,6,10,46,17,1
ATM883,94,19,12,82,17,1
ATM884,53,0,1,30,12,0
ATM885,69,19,6,39,10,0
ATM886,90,8,4,94,16,0
ATM887,71,1,7,70,3,0
ATM888,54,10,7,80,20,0
ATM889,84,11,9,48,12,1
ATM890,56,14,6,55,7,0
ATM891,54,20,13,33,22,1
ATM892,91,19,14,37,8,1
ATM893,97,18,6,75,13,1
ATM894,76,3,9,44,2,0
ATM895,86,0,2,53,7,0
ATM896,85,1,12,53,23,1
ATM897,91,3,2,63,24,0
ATM898,98,22,4,52,12,1
ATM899,54,29,4,91,8,0
ATM900,55,4,8,39,7,0
ATM901,56,6,5,90,19,0
ATM902,52,18,5,76,3,0
ATM903,77,11,5,65,14,0
ATM904,90,4,12,87,17,1
ATM905,79,29,4,54,15,0
ATM906,76,18,13,86,15,1
ATM907,96,21,3,68,15,1
ATM908,71,20,5,50,7,0
ATM909,98,15,10,60,9,0
ATM910,59,26,1,38,16,0
ATM911,60,9,5,46,3,0
ATM912,97,19,14,54,20,1
ATM913,86,5,0,94,24,0
ATM914,85,16,8,95,7,0
ATM915,64,6,10,99,0,0
ATM916,96,22,9,68,24,1
ATM917,66,1,10,70,8,0
ATM918,62,5,5,81,20,0
ATM919,52,16,14,78,11,1
ATM920,97,14,12,84,0,0
ATM921,66,2,9,44,3,0
ATM922,81,3,1,72,19,0
ATM923,84,7,13,87,0,0
ATM924,63,1,12,33,23,1
ATM925,78,18,5,78,7,0
ATM926,68,20,0,98,15,0
ATM927,55,7,12,93,2,0
ATM928,68,11,10,72,9,0
ATM929,74,19,14,97,11,1
ATM930,72,1,7,51,18,0
ATM931,86,7,6,85,22,0
ATM932,52,17,6,80,17,0
ATM933,65,7,11,41,20,1
ATM934,60,4,10,41,16,1
ATM935,55,0,4,86,13,0
ATM936,54,21,7,88,0,0
ATM937,99,15,8,48,21,0
ATM938,54,26,1,76,6,0
ATM939,53,0,12,83,6,0
ATM940,64,22,13,48,21,1
ATM941,78,23,3,58,23,0
ATM942,67,9,8,86,7,0
ATM943,75,29,12,46,1,0
ATM944,55,25,4,57,8,0
ATM945,54,17,9,70,16,1
ATM946,76,16,11,32,9,0
ATM947,83,24,2,31,23,0
ATM948,59,5,5,55,10,0
ATM949,88,26,12,49,8,1
ATM950,69,11,2,95,20,0
ATM951,83,21,2,35,14,0
ATM952,76,9,8,77,5,0
ATM953,90,26,3,88,1,1
ATM954,78,3,0,55,24,0
ATM955,59,20,14,88,21,1
ATM956,97,20,10,51,3,1
ATM957,83,29,8,57,0,0
ATM958,98,12,3,36,16,0
ATM959,58,3,2,30,9,0
ATM960,85,8,12,75,9,0
ATM961,81,5,5,46,9,0
ATM962,99,26,5,79,2,1
ATM963,70,24,11,44,3,0
ATM964,78,26,8,56,18,0
ATM965,77,16,10,70,9,0
ATM966,99,19,12,69,6,1
ATM967,98,20,6,81,14,1
ATM968,82,24,13,98,10,0
ATM969,97,1,7,90,17,0
ATM970,52,29,9,62,10,0
ATM971,65,17,13,77,22,1
ATM972,59,17,5,48,3,0
ATM973,62,23,13,32,9,0
ATM974,87,0,6,37,18,0
ATM975,95,9,0,35,10,0
ATM976,74,6,0,89,0,0
ATM977,86,8,1,85,20,0
ATM978,51,28,9,89,5,0
ATM979,89,3,1,66,14,0
ATM980,77,17,1,92,21,0
ATM981,60,25,8,33,21,0
ATM982,56,28,10,83,23,1
ATM983,53,27,14,30,22,1
ATM984,52,13,5,30,5,0
ATM985,87,20,12,34,16,1
ATM986,59,27,4,96,12,0
ATM987,96,19,2,64,3,1
ATM988,54,0,3,41,23,0
ATM989,91,22,8,50,19,1
ATM990,73,24,12,84,13,1
ATM991,81,22,4,65,13,0
ATM992,91,16,9,87,6,1
ATM993,65,0,0,90,8,0
ATM994,55,18,12,64,6,0
ATM995,71,8,5,34,9,0
ATM996,72,16,11,96,24,1
ATM997,71,8,12,66,22,1
ATM998,62,13,3,52,12,0
ATM999,66,22,7,95,4,0
ATM1000,55,11,1,51,21,0
